Year,Region,Product_Category,Market_Size_Units (Millions),Market_Value (USD Billions),YoY_Growth_Rate (%),5_Year_CAGR_Forecast (%),Key_Driver
2015,Global,Refrigerator – Top-freezer,62.5,42.5,,1.8,Urbanization
2016,Global,Refrigerator – Top-freezer,63.75,44.217,2.0,1.8,Urbanization
2017,Global,Refrigerator – Top-freezer,65.025,46.003,2.0,1.8,Urbanization
2018,Global,Refrigerator – Top-freezer,66.326,47.862,2.0,1.8,Urbanization
2019,Global,Refrigerator – Top-freezer,67.652,49.796,2.0,1.8,Urbanization
2020,Global,Refrigerator – Top-freezer,69.005,51.807,2.0,1.8,Urbanization
2021,Global,Refrigerator – Top-freezer,70.385,53.9,2.0,1.8,Urbanization
2022,Global,Refrigerator – Top-freezer,71.793,56.078,2.0,1.8,Urbanization
2023,Global,Refrigerator – Top-freezer,73.229,58.343,2.0,1.8,Urbanization
2024,Global,Refrigerator – Top-freezer,74.693,60.7,2.0,1.8,Urbanization
2025,Global,Refrigerator – Top-freezer,76.038,63.029,1.8,1.8,Urbanization
2026,Global,Refrigerator – Top-freezer,77.406,65.447,1.8,1.8,Urbanization
2027,Global,Refrigerator – Top-freezer,78.8,67.957,1.8,1.8,Urbanization
2028,Global,Refrigerator – Top-freezer,80.218,70.564,1.8,1.8,Urbanization
2015,Global,Refrigerator – Bottom-freezer,37.5,30.0,,1.8,Urbanization
2016,Global,Refrigerator – Bottom-freezer,38.25,31.212,2.0,1.8,Urbanization
2017,Global,Refrigerator – Bottom-freezer,39.015,32.473,2.0,1.8,Urbanization
2018,Global,Refrigerator – Bottom-freezer,39.795,33.785,2.0,1.8,Urbanization
2019,Global,Refrigerator – Bottom-freezer,40.591,35.15,2.0,1.8,Urbanization
2020,Global,Refrigerator – Bottom-freezer,41.403,36.57,2.0,1.8,Urbanization
2021,Global,Refrigerator – Bottom-freezer,42.231,38.047,2.0,1.8,Urbanization
2022,Global,Refrigerator – Bottom-freezer,43.076,39.584,2.0,1.8,Urbanization
2023,Global,Refrigerator – Bottom-freezer,43.937,41.184,2.0,1.8,Urbanization
2024,Global,Refrigerator – Bottom-freezer,44.816,42.847,2.0,1.8,Urbanization
2025,Global,Refrigerator – Bottom-freezer,45.623,44.491,1.8,1.8,Urbanization
2026,Global,Refrigerator – Bottom-freezer,46.444,46.198,1.8,1.8,Urbanization
2027,Global,Refrigerator – Bottom-freezer,47.28,47.97,1.8,1.8,Urbanization
2028,Global,Refrigerator – Bottom-freezer,48.131,49.81,1.8,1.8,Urbanization
2015,Global,Refrigerator – Side-by-side,25.0,25.0,,1.8,Urbanization
2016,Global,Refrigerator – Side-by-side,25.55,26.061,2.2,1.8,Urbanization
2017,Global,Refrigerator – Side-by-side,26.112,27.167,2.2,1.8,Urbanization
2018,Global,Refrigerator – Side-by-side,26.687,28.32,2.2,1.8,Urbanization
2019,Global,Refrigerator – Side-by-side,27.274,29.522,2.2,1.8,Urbanization
2020,Global,Refrigerator – Side-by-side,27.874,30.775,2.2,1.8,Urbanization
2021,Global,Refrigerator – Side-by-side,28.487,32.081,2.2,1.8,Urbanization
2022,Global,Refrigerator – Side-by-side,29.114,33.442,2.2,1.8,Urbanization
2023,Global,Refrigerator – Side-by-side,29.754,34.862,2.2,1.8,Urbanization
2024,Global,Refrigerator – Side-by-side,30.409,36.341,2.2,1.8,Urbanization
