Year,Region,Product_Category,Actual_Units_Sold (2015-2024),Forecast_Units_Sold (2025-2035),ASP (Avg_Selling_Price)
2015,Global,Refrigerator – Top-freezer,62.5,,680.0
2016,Global,Refrigerator – Top-freezer,63.75,,693.6
2017,Global,Refrigerator – Top-freezer,65.025,,707.47
2018,Global,Refrigerator – Top-freezer,66.326,,721.62
2019,Global,Refrigerator – Top-freezer,67.652,,736.05
2020,Global,Refrigerator – Top-freezer,69.005,,750.77
2021,Global,Refrigerator – Top-freezer,70.385,,765.79
2022,Global,Refrigerator – Top-freezer,71.793,,781.11
2023,Global,Refrigerator – Top-freezer,73.229,,796.73
2024,Global,Refrigerator – Top-freezer,74.693,,812.66
2025,Global,Refrigerator – Top-freezer,,76.038,828.92
2026,Global,Refrigerator – Top-freezer,,77.406,845.49
2027,Global,Refrigerator – Top-freezer,,78.8,862.4
2028,Global,Refrigerator – Top-freezer,,80.218,879.65
2029,Global,Refrigerator – Top-freezer,,81.662,897.25
2030,Global,Refrigerator – Top-freezer,,83.132,915.19
2031,Global,Refrigerator – Top-freezer,,84.628,933.49
2032,Global,Refrigerator – Top-freezer,,86.152,952.16
2033,Global,Refrigerator – Top-freezer,,87.702,971.21
2034,Global,Refrigerator – Top-freezer,,89.281,990.63
2035,Global,Refrigerator – Top-freezer,,90.888,1010.44
2015,Global,Refrigerator – Bottom-freezer,37.5,,800.0
2016,Global,Refrigerator – Bottom-freezer,38.25,,816.0
2017,Global,Refrigerator – Bottom-freezer,39.015,,832.32
2018,Global,Refrigerator – Bottom-freezer,39.795,,848.97
2019,Global,Refrigerator – Bottom-freezer,40.591,,865.95
2020,Global,Refrigerator – Bottom-freezer,41.403,,883.26
2021,Global,Refrigerator – Bottom-freezer,42.231,,900.93
2022,Global,Refrigerator – Bottom-freezer,43.076,,918.95
2023,Global,Refrigerator – Bottom-freezer,43.937,,937.33
2024,Global,Refrigerator – Bottom-freezer,44.816,,956.07
2025,Global,Refrigerator – Bottom-freezer,,45.623,975.2
2026,Global,Refrigerator – Bottom-freezer,,46.444,994.7
2027,Global,Refrigerator – Bottom-freezer,,47.28,1014.59
2028,Global,Refrigerator – Bottom-freezer,,48.131,1034.89
2029,Global,Refrigerator – Bottom-freezer,,48.997,1055.58
2030,Global,Refrigerator – Bottom-freezer,,49.879,1076.69
2031,Global,Refrigerator – Bottom-freezer,,50.777,1098.23
2032,Global,Refrigerator – Bottom-freezer,,51.691,1120.19
2033,Global,Refrigerator – Bottom-freezer,,52.621,1142.6
2034,Global,Refrigerator – Bottom-freezer,,53.569,1165.45
2035,Global,Refrigerator – Bottom-freezer,,54.533,1188.76
2015,Global,Refrigerator – Side-by-side,25.0,,1000.0
2016,Global,Refrigerator – Side-by-side,25.55,,1020.0
2017,Global,Refrigerator – Side-by-side,26.112,,1040.4
2018,Global,Refrigerator – Side-by-side,26.687,,1061.21
2019,Global,Refrigerator – Side-by-side,27.274,,1082.43
2020,Global,Refrigerator – Side-by-side,27.874,,1104.08
2021,Global,Refrigerator – Side-by-side,28.487,,1126.16
2022,Global,Refrigerator – Side-by-side,29.114,,1148.69
2023,Global,Refrigerator – Side-by-side,29.754,,1171.66
2024,Global,Refrigerator – Side-by-side,30.409,,1195.09
2025,Global,Refrigerator – Side-by-side,,31.017,1218.99
2026,Global,Refrigerator – Side-by-side,,31.637,1243.37
2027,Global,Refrigerator – Side-by-side,,32.27,1268.24
2028,Global,Refrigerator – Side-by-side,,32.915,1293.61
2029,Global,Refrigerator – Side-by-side,,33.574,1319.48
